ID,loan_type,loan_purpose,business_or_commercial,rate_of_interest
27651,type1,p3,nob/c,4.5
27652,type1,p4,nob/c,3.875
27653,type1,p1,nob/c,4
27654,type1,p4,nob/c,3.375
27655,type1,p4,nob/c,3.99
27656,type1,p3,nob/c,3.75
27657,type1,p1,nob/c,0
27658,type1,p1,nob/c,4.375
27659,type1,p4,nob/c,0
27660,type1,p4,nob/c,3.99
27661,type1,p1,nob/c,4.5
27662,type1,p3,nob/c,0
27663,type2,p1,b/c,2.99
27664,type1,p4,nob/c,3.75
27665,type1,p4,nob/c,4.25
27666,type2,p1,b/c,4.625
27667,type1,p4,nob/c,5.25
27668,type1,p4,nob/c,3.69
27669,type3,p3,nob/c,0
27670,type1,p4,nob/c,3.99
27671,type2,p4,b/c,0
27672,type1,p4,nob/c,3.99
27673,type2,p4,b/c,0
27674,type2,p1,b/c,4.125
27675,type1,p3,nob/c,4.375
27676,type1,p3,nob/c,0
27677,type3,p3,nob/c,3.25
27678,type1,p3,nob/c,4.75
27679,type1,p1,nob/c,4.625
27680,type1,p1,nob/c,0
27681,type1,p3,nob/c,3.99
27682,type1,p3,nob/c,4.375
27683,type1,p3,nob/c,4.5
27684,type1,p3,nob/c,3.625
27685,type1,p3,nob/c,3.99
27686,type2,p2,b/c,3.99
27687,type1,p4,nob/c,3.875
27688,type1,p3,nob/c,3.625
27689,type1,p4,nob/c,3.875
27690,type1,p4,nob/c,4.25
27691,type2,p3,b/c,4.49
27692,type1,p1,nob/c,3.625
27693,type2,p3,b/c,4.375
27694,type1,p4,nob/c,3.625
27695,type3,p3,nob/c,3.75
27696,type1,p3,nob/c,4.375
27697,type2,p3,b/c,4.25
27698,type1,p3,nob/c,4.5
27699,type1,p4,nob/c,3.875
27700,type1,p3,nob/c,3.99
27701,type2,p1,b/c,0
27702,type1,p3,nob/c,4
27703,type2,p3,b/c,0
27704,type1,p1,nob/c,4.125
27705,type1,p1,nob/c,4.125
27706,type3,p3,nob/c,3.5
27707,type1,p1,nob/c,3.625
27708,type1,p4,nob/c,3.5
27709,type1,p3,nob/c,0
27710,type1,p1,nob/c,3.99
27711,type1,p4,nob/c,0
27712,type1,p1,nob/c,4.625
27713,type1,p4,nob/c,0
27714,type3,p4,nob/c,0
27715,type1,p1,nob/c,3.75
27716,type1,p3,nob/c,4.25
27717,type1,p4,nob/c,0
27718,type1,p4,nob/c,0
27719,type1,p3,nob/c,4.25
27720,type3,p4,nob/c,3.25
27721,type2,p3,b/c,2.99
27722,type1,p4,nob/c,4.375
27723,type1,p1,nob/c,4
27724,type1,p1,nob/c,0
27725,type2,p4,b/c,3.99
27726,type1,p1,nob/c,4.75
27727,type1,p4,nob/c,3.875
27728,type1,p3,nob/c,3.125
27729,type1,p3,nob/c,0
27730,type1,p1,nob/c,4.5
27731,type1,p3,nob/c,4.125
27732,type3,p4,nob/c,3.625
27733,type1,p3,nob/c,3.5
27734,type1,p2,nob/c,4.18
27735,type1,p2,nob/c,4.99
27736,type1,p4,nob/c,3.375
27737,type1,p4,nob/c,3.75
27738,type1,p4,nob/c,4.125
27739,type1,p3,nob/c,4
27740,type1,p1,nob/c,3.5
27741,type1,p4,nob/c,4.5
27742,type2,p1,b/c,3.625
27743,type1,p3,nob/c,3.375
27744,type1,p3,nob/c,4.125
27745,type1,p3,nob/c,3.99
27746,type1,p3,nob/c,3.99
27747,type1,p3,nob/c,3.875
27748,type1,p4,nob/c,4.125
27749,type1,p3,nob/c,0
27750,type3,p1,nob/c,0
27751,type1,p3,nob/c,0
27752,type2,p1,b/c,4.625
27753,type2,p3,b/c,3.375
27754,type1,p3,nob/c,4.875
27755,type1,p3,nob/c,4.125
27756,type1,p4,nob/c,0
27757,type2,p3,b/c,3.625
27758,type1,p1,nob/c,0
27759,type1,p4,nob/c,0
27760,type1,p4,nob/c,3.875
27761,type1,p3,nob/c,4.75
27762,type1,p3,nob/c,4.125
27763,type1,p4,nob/c,4.56
27764,type1,p4,nob/c,3.875
27765,type1,p3,nob/c,0
27766,type1,p1,nob/c,3.99
27767,type1,p4,nob/c,4.25
27768,type1,p3,nob/c,4.75
27769,type1,p3,nob/c,0
27770,type1,p1,nob/c,0
27771,type1,p1,nob/c,4.25
27772,type1,p3,nob/c,3.375
27773,type2,p2,b/c,3.75
27774,type1,p3,nob/c,4.75
27775,type1,p4,nob/c,4.25
27776,type1,p2,nob/c,4.99
27777,type1,p3,nob/c,4.25
27778,type1,p4,nob/c,3.99
27779,type1,p4,nob/c,4.5
27780,type1,p4,nob/c,3.625
27781,type2,p3,b/c,4.5
27782,type3,p4,nob/c,3.625
27783,type1,p3,nob/c,3.75
27784,type1,p4,nob/c,0
27785,type2,p4,b/c,3.75
27786,type1,p4,nob/c,0
27787,type2,p4,b/c,0
27788,type1,p4,nob/c,0
27789,type2,p4,b/c,3.625
27790,type3,p3,nob/c,3.75
27791,type1,p1,nob/c,3.99
27792,type1,p4,nob/c,2.99
27793,type1,p4,nob/c,3.5
27794,type1,p3,nob/c,3.5
27795,type2,p4,b/c,3.125
27796,type1,p3,nob/c,4.275
27797,type1,p4,nob/c,3.875
27798,type1,p4,nob/c,3.625
27799,type1,p1,nob/c,4.625
27800,type2,p3,b/c,3.875
27801,type1,p3,nob/c,3.375
27802,type1,p4,nob/c,0
27803,type2,p3,b/c,5.25
27804,type1,p3,nob/c,3.375
27805,type1,p1,nob/c,4.125
27806,type1,p1,nob/c,4.625
27807,type1,p3,nob/c,4.5
27808,type1,p3,nob/c,4.25
27809,type1,p1,nob/c,4.875
27810,type1,p3,nob/c,3.99
27811,type1,p4,nob/c,3.625
27812,type2,p3,b/c,4.75
27813,type1,p1,nob/c,0
27814,type1,p1,nob/c,0
27815,type1,p3,nob/c,0
27816,type1,p3,nob/c,4.99
27817,type1,p4,nob/c,4.25
27818,type1,p3,nob/c,0
27819,type1,p4,nob/c,4.875
27820,type1,p1,nob/c,4.75
27821,type1,p1,nob/c,3.875
27822,type1,p4,nob/c,0
27823,type3,p4,nob/c,3.375
27824,type1,p1,nob/c,4.56
27825,type2,p1,b/c,3.75
27826,type1,p4,nob/c,4.25
27827,type1,p1,nob/c,0
27828,type1,p3,nob/c,4.25
27829,type2,p1,b/c,3.25
27830,type1,p3,nob/c,4.75
27831,type1,p4,nob/c,3.5
27832,type1,p4,nob/c,0
27833,type1,p3,nob/c,4.875
27834,type1,p1,nob/c,4.375
27835,type1,p3,nob/c,3.99
27836,type1,p3,nob/c,3.99
27837,type1,p1,nob/c,4.99
27838,type1,p1,nob/c,3.75
27839,type3,p3,nob/c,4.125
27840,type1,p4,nob/c,4.5
27841,type1,p3,nob/c,3.25
27842,type1,p4,nob/c,3.625
27843,type2,p4,b/c,3.49
27844,type1,p3,nob/c,4.125
27845,type1,p4,nob/c,3.875
27846,type1,p1,nob/c,4.5
27847,type1,p4,nob/c,0
27848,type1,p3,nob/c,4.375
27849,type2,p3,b/c,0
27850,type2,p1,b/c,3.125
27851,type1,p4,nob/c,3.69
27852,type1,p3,nob/c,4.75
27853,type1,p1,nob/c,3.875
27854,type1,p4,nob/c,3.99
27855,type2,p4,b/c,0
27856,type1,p1,nob/c,3.375
27857,type1,p1,nob/c,3.75
27858,type3,p3,nob/c,3.875
27859,type1,p4,nob/c,3.99
27860,type1,p4,nob/c,0
27861,type1,p1,nob/c,4.375
27862,type1,p2,nob/c,3.5
27863,type1,p4,nob/c,0
27864,type1,p3,nob/c,0
27865,type1,p3,nob/c,3.99
27866,type1,p4,nob/c,0
27867,type1,p3,nob/c,4.375
27868,type3,p1,nob/c,3.5
27869,type2,p3,b/c,0
27870,type1,p1,nob/c,4.25
27871,type1,p3,nob/c,3.5
27872,type1,p4,nob/c,3.625
27873,type1,p3,nob/c,0
27874,type3,p4,nob/c,3.125
27875,type1,p4,nob/c,3.625
27876,type1,p4,nob/c,4.375
27877,type1,p4,nob/c,3.875
27878,type1,p3,nob/c,0
27879,type1,p2,nob/c,0
27880,type3,p1,nob/c,4.5
27881,type2,p1,b/c,0
27882,type1,p4,nob/c,0
27883,type2,p4,b/c,3.625
27884,type2,p3,b/c,0
27885,type3,p3,nob/c,4.49
27886,type1,p3,nob/c,3.99
27887,type2,p4,b/c,3.25
27888,type1,p4,nob/c,4.5
27889,type3,p1,nob/c,3.625
27890,type1,p1,nob/c,4.25
27891,type1,p4,nob/c,4.25
27892,type3,p4,nob/c,3.25
27893,type1,p4,nob/c,4.25
27894,type1,p3,nob/c,3.99
27895,type3,p4,nob/c,3.99
27896,type1,p4,nob/c,3.875
27897,type3,p4,nob/c,3.5
27898,type1,p1,nob/c,4.875
27899,type1,p4,nob/c,3.875
27900,type1,p1,nob/c,4.625
27901,type1,p3,nob/c,3.99
27902,type1,p1,nob/c,0
27903,type1,p3,nob/c,4.875
27904,type3,p3,nob/c,0
27905,type1,p4,nob/c,2.99
27906,type1,p3,nob/c,2.99
27907,type1,p3,nob/c,3.75
27908,type1,p4,nob/c,4.125
27909,type1,p3,nob/c,0
27910,type1,p1,nob/c,3.625
27911,type2,p4,b/c,4.125
27912,type2,p4,b/c,4.75
27913,type1,p4,nob/c,0
27914,type1,p3,nob/c,4.5
27915,type2,p1,b/c,0
27916,type1,p4,nob/c,4
27917,type1,p4,nob/c,3.99
27918,type1,p3,nob/c,4.75
27919,type1,p1,nob/c,3.875
27920,type3,p4,nob/c,3.375
27921,type1,p3,nob/c,4.5
27922,type1,p2,nob/c,0
27923,type1,p4,nob/c,0
27924,type1,p4,nob/c,4.625
27925,type1,p3,nob/c,5.25
27926,type1,p3,nob/c,4.5
27927,type2,p3,b/c,0
27928,type1,p4,nob/c,4.5
27929,type1,p3,nob/c,0
27930,type1,p3,nob/c,3.375
27931,type1,p1,nob/c,4.625
27932,type2,p1,b/c,0
27933,type1,p4,nob/c,3.69
27934,type1,p1,nob/c,0
27935,type1,p3,nob/c,4.56
27936,type1,p1,nob/c,0
27937,type1,p1,nob/c,0
27938,type1,p4,nob/c,0
27939,type1,p1,nob/c,3.5
27940,type1,p3,nob/c,3.625
27941,type2,p1,b/c,4.5
27942,type1,p4,nob/c,3.625
27943,type2,p3,b/c,0
27944,type1,p3,nob/c,4.5
27945,type1,p3,nob/c,0
27946,type3,p4,nob/c,0
27947,type1,p3,nob/c,3.99
27948,type1,p1,nob/c,3.5
27949,type1,p3,nob/c,0
27950,type1,p3,nob/c,3.875
27951,type1,p4,nob/c,3.625
27952,type1,p4,nob/c,3.75
27953,type1,p4,nob/c,3.75
27954,type2,p3,b/c,4.125
27955,type1,p3,nob/c,0
27956,type1,p1,nob/c,0
27957,type1,p3,nob/c,3.625
27958,type1,p3,nob/c,0
27959,type1,p3,nob/c,4.75
27960,type3,p4,nob/c,3.125
27961,type1,p3,nob/c,4.375
27962,type1,p3,nob/c,3.99
27963,type3,p3,nob/c,0
27964,type1,p3,nob/c,5.25
27965,type1,p4,nob/c,4.375
27966,type1,p4,nob/c,0
27967,type1,p3,nob/c,4.56
27968,type1,p3,nob/c,4.25
27969,type1,p4,nob/c,4.75
27970,type1,p4,nob/c,3.69
27971,type1,p4,nob/c,3.375
27972,type1,p3,nob/c,3.625
27973,type3,p4,nob/c,3.125
27974,type2,p4,b/c,0
27975,type3,p4,nob/c,3.125
27976,type1,p3,nob/c,4.25
27977,type1,p4,nob/c,4.25
27978,type2,p3,b/c,0
27979,type2,p3,b/c,3.625
27980,type1,p3,nob/c,0
27981,type1,p1,nob/c,4.56
27982,type1,p4,nob/c,3.5
27983,type1,p4,nob/c,0
27984,type1,p3,nob/c,0
27985,type1,p2,nob/c,4.25
27986,type1,p3,nob/c,4.5
27987,type1,p3,nob/c,3.99
27988,type1,p4,nob/c,4.375
27989,type1,p1,nob/c,4.99
27990,type2,p4,b/c,3.375
27991,type1,p1,nob/c,4.25
27992,type3,p3,nob/c,3.99
27993,type3,p1,nob/c,5.25
27994,type2,p3,b/c,0
27995,type1,p4,nob/c,0
27996,type3,p4,nob/c,0
27997,type1,p3,nob/c,0
27998,type1,p4,nob/c,4.5
27999,type1,p3,nob/c,0
28000,type1,p3,nob/c,3.625
28001,type3,p3,nob/c,3.5
28002,type1,p4,nob/c,3.25
28003,type2,p3,b/c,3.5
28004,type1,p4,nob/c,0
28005,type1,p4,nob/c,4.5
28006,type1,p3,nob/c,4.25
28007,type1,p3,nob/c,4.75
28008,type1,p3,nob/c,3.875
28009,type1,p4,nob/c,4.5
28010,type1,p4,nob/c,3.99
28011,type1,p4,nob/c,0
28012,type2,p4,b/c,0
28013,type1,p4,nob/c,3.625
28014,type1,p3,nob/c,4.75
28015,type1,p4,nob/c,3.625
28016,type1,p1,nob/c,4.56
28017,type2,p3,b/c,4.5
28018,type1,p3,nob/c,3.75
28019,type1,p3,nob/c,3.875
28020,type1,p4,nob/c,3.5
28021,type2,p1,b/c,5.5
28022,type2,p1,b/c,4.625
28023,type1,p3,nob/c,0
28024,type1,p4,nob/c,3.75
28025,type1,p4,nob/c,3.69
28026,type3,p3,nob/c,0
28027,type2,p1,b/c,3.49
28028,type2,p2,b/c,0
28029,type1,p3,nob/c,0
28030,type1,p4,nob/c,3.625
28031,type1,p3,nob/c,4.625
28032,type1,p4,nob/c,3.56
28033,type1,p3,nob/c,5.125
28034,type1,p3,nob/c,4.375
28035,type1,p4,nob/c,3.875
28036,type3,p4,nob/c,2.99
28037,type2,p3,b/c,0
28038,type3,p3,nob/c,4.875
28039,type1,p4,nob/c,4.5
28040,type1,p4,nob/c,3.625
28041,type1,p1,nob/c,4.875
28042,type2,p1,b/c,4
28043,type1,p3,nob/c,0
28044,type3,p3,nob/c,4.5
28045,type1,p3,nob/c,3.5
28046,type2,p4,b/c,3.75
28047,type1,p4,nob/c,4.25
28048,type1,p1,nob/c,4.5
28049,type2,p3,b/c,0
28050,type1,p3,nob/c,4.5
28051,type1,p1,nob/c,4.375
28052,type1,p3,nob/c,4.375
28053,type1,p1,nob/c,4.875
28054,type1,p4,nob/c,4
28055,type1,p3,nob/c,4.625
28056,type1,p4,nob/c,0
28057,type1,p4,nob/c,3.875
28058,type1,p3,nob/c,4
28059,type1,p3,nob/c,0
28060,type3,p1,nob/c,3.25
28061,type1,p3,nob/c,3.99
28062,type3,p4,nob/c,3.375
28063,type1,p4,nob/c,4.375
28064,type2,p1,b/c,4.75
28065,type1,p4,nob/c,4.875
28066,type1,p3,nob/c,0
28067,type2,p1,b/c,3.5
28068,type3,p4,nob/c,3.99
28069,type3,p3,nob/c,0
28070,type1,p1,nob/c,4.375
28071,type1,p4,nob/c,3.625
28072,type1,p1,nob/c,3.625
28073,type3,p1,nob/c,4.375
28074,type1,p3,nob/c,0
28075,type1,p1,nob/c,4.75
28076,type1,p4,nob/c,0
28077,type2,p1,b/c,3.125
28078,type1,p1,nob/c,4.875
28079,type1,p4,nob/c,3.875
28080,type1,p4,nob/c,3.99
28081,type1,p4,nob/c,4.375
28082,type1,p4,nob/c,3.125
28083,type2,p3,b/c,0
28084,type3,p1,nob/c,4.75
28085,type1,p3,nob/c,3.625
28086,type1,p1,nob/c,3.99
28087,type1,p1,nob/c,4.5
28088,type1,p1,nob/c,4.99
28089,type1,p4,nob/c,4.375
28090,type1,p3,nob/c,0
28091,type1,p1,nob/c,3.75
28092,type1,p3,nob/c,4.56
28093,type1,p3,nob/c,3.875
28094,type2,p1,b/c,3.99
28095,type1,p1,nob/c,0
28096,type1,p1,nob/c,4.625
28097,type1,p3,nob/c,3.875
28098,type1,p4,nob/c,0
28099,type1,p4,nob/c,3.99
28100,type3,p3,nob/c,0
28101,type1,p3,nob/c,3.625
28102,type2,p4,b/c,0
28103,type1,p2,nob/c,3.99
28104,type1,p4,nob/c,4.125
28105,type1,p1,nob/c,4.625
28106,type1,p4,nob/c,0
28107,type1,p4,nob/c,3.5
28108,type1,p3,nob/c,4.625
28109,type1,p4,nob/c,3.5
28110,type1,p4,nob/c,3.75
28111,type1,p3,nob/c,3.5
28112,type1,p4,nob/c,0
28113,type1,p1,nob/c,0
28114,type1,p2,nob/c,0
28115,type1,p1,nob/c,0
28116,type1,p4,nob/c,0
28117,type1,p3,nob/c,4.18
28118,type2,p3,b/c,4.49
28119,type1,p4,nob/c,3.25
28120,type1,p4,nob/c,3.875
28121,type1,p3,nob/c,4.99
28122,type1,p3,nob/c,3.99
28123,type1,p1,nob/c,4.375
28124,type2,p4,b/c,0
28125,type1,p3,nob/c,4.75
28126,type1,p3,nob/c,4.56
28127,type1,p1,nob/c,4.25
28128,type1,p1,nob/c,5.5
28129,type2,p3,b/c,4.75
28130,type1,p3,nob/c,3.99
28131,type1,p4,nob/c,4
28132,type3,p3,nob/c,3.375
28133,type1,p1,nob/c,3.5
28134,type1,p4,nob/c,3.875
28135,type1,p1,nob/c,3.5
28136,type1,p1,nob/c,0
28137,type1,p3,nob/c,3.375
28138,type1,p4,nob/c,3.625
28139,type1,p4,nob/c,4.75
28140,type1,p3,nob/c,0
28141,type1,p1,nob/c,3.375
28142,type1,p3,nob/c,0
28143,type1,p4,nob/c,3.99
28144,type2,p3,b/c,3.99
28145,type1,p2,nob/c,3.5
28146,type2,p3,b/c,0
28147,type1,p4,nob/c,3.625
28148,type1,p4,nob/c,3.5
28149,type2,p3,b/c,3.5
28150,type1,p3,nob/c,0
28151,type1,p4,nob/c,3.99
28152,type1,p4,nob/c,3.99
28153,type3,p4,nob/c,3.125
28154,type1,p3,nob/c,3.5
28155,type1,p4,nob/c,3.875
28156,type1,p3,nob/c,3.625
28157,type1,p4,nob/c,3.5
28158,type1,p3,nob/c,0
28159,type1,p4,nob/c,3.625
28160,type1,p3,nob/c,4.125
28161,type1,p4,nob/c,0
28162,type2,p1,b/c,0
28163,type1,p1,nob/c,3.75
28164,type3,p4,nob/c,2.875
28165,type2,p3,b/c,3.625
28166,type2,p1,b/c,3.375
28167,type1,p3,nob/c,0
28168,type1,p3,nob/c,3.99
28169,type1,p1,nob/c,4.56
28170,type1,p3,nob/c,4.75
28171,type1,p4,nob/c,3.5
28172,type1,p1,nob/c,4.125
28173,type1,p4,nob/c,2.75
28174,type1,p1,nob/c,4.375
28175,type2,p1,b/c,2.99
28176,type1,p3,nob/c,3.625
28177,type1,p1,nob/c,3.99
28178,type3,p4,nob/c,2.75
28179,type3,p1,nob/c,0
28180,type3,p1,nob/c,3.25
28181,type1,p1,nob/c,3.75
28182,type1,p1,nob/c,4.375
28183,type1,p3,nob/c,3.875
28184,type1,p3,nob/c,4.125
28185,type1,p3,nob/c,4.56
28186,type2,p3,b/c,4.5
28187,type3,p1,nob/c,3.125
28188,type1,p4,nob/c,4.125
28189,type3,p4,nob/c,2.99
28190,type1,p1,nob/c,0
28191,type1,p3,nob/c,3.5
28192,type1,p1,nob/c,3.875
28193,type1,p1,nob/c,4.875
28194,type3,p3,nob/c,0
28195,type1,p4,nob/c,3.99
28196,type2,p4,b/c,3.99
28197,type1,p3,nob/c,4.99
28198,type1,p4,nob/c,3.625
28199,type2,p3,b/c,0
28200,type1,p4,nob/c,3.75
28201,type1,p4,nob/c,4.875
28202,type2,p3,b/c,0
28203,type1,p4,nob/c,3.25
28204,type1,p3,nob/c,4.375
28205,type1,p3,nob/c,4.5
28206,type1,p1,nob/c,3.375
28207,type3,p3,nob/c,3.375
28208,type1,p4,nob/c,0
28209,type3,p3,nob/c,3.99
28210,type1,p3,nob/c,0
28211,type1,p2,nob/c,5.625
28212,type2,p4,b/c,3.25
28213,type1,p1,nob/c,3.875
28214,type1,p1,nob/c,4.75
28215,type1,p3,nob/c,4.625
28216,type1,p4,nob/c,4.375
28217,type1,p1,nob/c,3.75
28218,type3,p3,nob/c,4.375
28219,type3,p3,nob/c,0
28220,type1,p2,nob/c,0
28221,type1,p1,nob/c,3.375
28222,type1,p1,nob/c,4.625
28223,type1,p4,nob/c,0
28224,type2,p1,b/c,3.75
28225,type1,p4,nob/c,3.69
28226,type2,p3,b/c,4.49
28227,type1,p1,nob/c,0
28228,type1,p4,nob/c,3.625
28229,type1,p4,nob/c,3.625
28230,type1,p3,nob/c,5.5
28231,type1,p1,nob/c,0
28232,type1,p4,nob/c,3.125
28233,type1,p3,nob/c,4.125
28234,type1,p4,nob/c,0
28235,type1,p4,nob/c,3.875
28236,type1,p1,nob/c,3.375
28237,type1,p4,nob/c,3.375
28238,type1,p3,nob/c,3.69
28239,type1,p3,nob/c,5.875
28240,type1,p4,nob/c,0
28241,type1,p3,nob/c,3.875
28242,type3,p4,nob/c,3.375
28243,type1,p1,nob/c,4.5
28244,type1,p1,nob/c,4.125
28245,type1,p4,nob/c,3.875
28246,type1,p1,nob/c,0
28247,type1,p1,nob/c,0
28248,type2,p3,b/c,3.99
28249,type1,p3,nob/c,4.125
28250,type1,p1,nob/c,0
28251,type1,p4,nob/c,3.5
28252,type1,p3,nob/c,4.99
28253,type2,p1,b/c,0
28254,type1,p4,nob/c,4.5
28255,type1,p3,nob/c,0
28256,type1,p1,nob/c,3.25
28257,type2,p3,b/c,3.99
28258,type1,p2,nob/c,4.25
28259,type1,p4,nob/c,0
28260,type1,p4,nob/c,4.125
28261,type1,p4,nob/c,3.99
28262,type1,p4,nob/c,3.99
28263,type1,p1,nob/c,4.99
28264,type1,p3,nob/c,3.99
28265,type1,p4,nob/c,3.5
28266,type1,p3,nob/c,4.625
28267,type1,p3,nob/c,3.625
28268,type2,p4,b/c,0
28269,type1,p4,nob/c,3.75
28270,type1,p4,nob/c,3.5
28271,type1,p4,nob/c,4.99
28272,type2,p1,b/c,5.375
28273,type3,p4,nob/c,2.99
28274,type2,p1,b/c,4.375
28275,type2,p3,b/c,3.25
28276,type2,p3,b/c,3.625
28277,type2,p3,b/c,4.99
28278,type1,p3,nob/c,3.75
28279,type1,p3,nob/c,4.625
28280,type1,p3,nob/c,4.18
28281,type1,p3,nob/c,0
28282,type1,p3,nob/c,4.875
28283,type1,p4,nob/c,3.99
28284,type1,p2,nob/c,0
28285,type1,p4,nob/c,0
28286,type1,p3,nob/c,0
28287,type2,p4,b/c,0
28288,type1,p3,nob/c,4.99
28289,type1,p3,nob/c,4.125
28290,type1,p4,nob/c,3.99
28291,type1,p4,nob/c,3.99
28292,type1,p1,nob/c,3.875
28293,type1,p3,nob/c,3.69
28294,type1,p2,nob/c,4.625
28295,type1,p4,nob/c,4.25
28296,type3,p3,nob/c,3.375
28297,type1,p1,nob/c,3.375
28298,type1,p3,nob/c,4.75
28299,type1,p3,nob/c,4.5
28300,type2,p3,b/c,0
28301,type1,p4,nob/c,3.625
28302,type1,p1,nob/c,3.5
28303,type2,p3,b/c,0
28304,type2,p3,b/c,4.125
28305,type2,p3,b/c,0
28306,type1,p3,nob/c,3.75
28307,type1,p1,nob/c,0
28308,type1,p4,nob/c,3.5
28309,type1,p4,nob/c,4
28310,type1,p3,nob/c,3.5
28311,type1,p1,nob/c,4.5
28312,type3,p4,nob/c,3.875
28313,type1,p3,nob/c,0
28314,type2,p4,b/c,3.99
28315,type1,p1,nob/c,4.18
28316,type1,p4,nob/c,0
28317,type2,p3,b/c,3.49
28318,type1,p3,nob/c,0
28319,type1,p4,nob/c,4.375
28320,type1,p1,nob/c,3.99
28321,type1,p1,nob/c,4
28322,type1,p3,nob/c,3.75
28323,type2,p4,b/c,3.49
28324,type1,p1,nob/c,3.875
28325,type1,p4,nob/c,4.125
28326,type1,p3,nob/c,3.99
28327,type1,p1,nob/c,4.25
28328,type1,p4,nob/c,3.25
28329,type1,p3,nob/c,4.75
28330,type2,p2,b/c,0
28331,type2,p4,b/c,0
28332,type1,p4,nob/c,3.25
28333,type1,p3,nob/c,4.99
28334,type2,p4,b/c,0
28335,type1,p4,nob/c,4.5
28336,type1,p4,nob/c,0
28337,type1,p4,nob/c,0
28338,type1,p3,nob/c,3.5
28339,type1,p4,nob/c,3.75
28340,type1,p1,nob/c,3.75
28341,type2,p4,b/c,4.125
28342,type2,p1,b/c,0
28343,type1,p3,nob/c,4.56
28344,type1,p1,nob/c,4.75
28345,type1,p3,nob/c,4.99
28346,type1,p1,nob/c,0
28347,type1,p4,nob/c,4
28348,type1,p3,nob/c,3.99
28349,type3,p1,nob/c,3.375
28350,type2,p1,b/c,4.25
28351,type1,p3,nob/c,4.5
28352,type1,p3,nob/c,3.99
28353,type2,p1,b/c,3.99
28354,type1,p3,nob/c,0
28355,type1,p3,nob/c,3.875
28356,type3,p3,nob/c,3.99
28357,type1,p4,nob/c,3.875
28358,type1,p4,nob/c,3.625
28359,type1,p3,nob/c,4.75
28360,type1,p3,nob/c,2.99
28361,type1,p4,nob/c,0
28362,type1,p3,nob/c,4.5
28363,type1,p3,nob/c,4.875
28364,type1,p3,nob/c,0
28365,type3,p3,nob/c,3.75
28366,type1,p4,nob/c,0
28367,type2,p3,b/c,0
28368,type1,p1,nob/c,4.5
28369,type2,p4,b/c,4.375
28370,type1,p3,nob/c,3.875
28371,type1,p3,nob/c,3.5
28372,type1,p1,nob/c,2.975
28373,type1,p3,nob/c,4.375
28374,type1,p3,nob/c,0
28375,type1,p1,nob/c,4.75
28376,type3,p3,nob/c,3.625
28377,type1,p4,nob/c,3.99
28378,type1,p3,nob/c,3.625
28379,type1,p1,nob/c,4
28380,type2,p3,b/c,4.25
28381,type1,p3,nob/c,4.625
28382,type1,p3,nob/c,4.375
28383,type1,p3,nob/c,4.875
28384,type2,p1,b/c,3.375
28385,type1,p4,nob/c,4.25
28386,type1,p1,nob/c,3.875
28387,type1,p1,nob/c,4.875
28388,type1,p3,nob/c,4.875
28389,type1,p4,nob/c,0
28390,type1,p4,nob/c,3.875
28391,type1,p4,nob/c,0
28392,type1,p3,nob/c,0
28393,type3,p4,nob/c,2.75
28394,type1,p4,nob/c,3.69
28395,type2,p4,b/c,4.125
28396,type2,p1,b/c,4.375
28397,type1,p4,nob/c,4
28398,type1,p4,nob/c,3.25
28399,type1,p1,nob/c,4.375
28400,type1,p4,nob/c,3.625
28401,type1,p4,nob/c,3.5
28402,type3,p4,nob/c,3.5
28403,type1,p3,nob/c,4.375
28404,type1,p3,nob/c,4.375
28405,type1,p3,nob/c,4.5
28406,type1,p4,nob/c,2.75
28407,type3,p1,nob/c,0
28408,type1,p1,nob/c,0
28409,type1,p1,nob/c,4.375
28410,type1,p4,nob/c,0
28411,type1,p1,nob/c,4.125
28412,type1,,nob/c,3.875
28413,type1,p3,nob/c,4.625
28414,type1,p3,nob/c,0
28415,type1,p1,nob/c,4.875
28416,type1,p3,nob/c,0
28417,type1,p3,nob/c,3.75
28418,type2,p4,b/c,0
28419,type1,p3,nob/c,3.5
28420,type3,p3,nob/c,3.375
28421,type2,p1,b/c,0
28422,type3,p3,nob/c,0
28423,type2,p3,b/c,3.875
28424,type1,p3,nob/c,0
28425,type1,p3,nob/c,3.625
28426,type1,p1,nob/c,3.69
28427,type1,p1,nob/c,4.625
28428,type1,p1,nob/c,4.5
28429,type2,p3,b/c,4.375
28430,type1,p3,nob/c,0
28431,type2,p1,b/c,3.49
28432,type1,p3,nob/c,6.24
28433,type1,p3,nob/c,3.5
28434,type1,p3,nob/c,0
28435,type3,p4,nob/c,3.99
28436,type1,p4,nob/c,3.99
28437,type2,p4,b/c,3.25
28438,type1,p1,nob/c,0
28439,type1,p3,nob/c,3.875
28440,type2,p3,b/c,0
28441,type1,p4,nob/c,0
28442,type2,p4,b/c,0
28443,type3,p4,nob/c,3.625
28444,type2,p3,b/c,0
28445,type1,p3,nob/c,4.5
28446,type2,p4,b/c,0
28447,type2,p3,b/c,4.875
28448,type1,p4,nob/c,3.99
28449,type2,p4,b/c,3.49
28450,type1,p4,nob/c,3.875
28451,type1,p1,nob/c,4.5
28452,type1,p4,nob/c,3.875
28453,type2,p4,b/c,3.625
28454,type1,p1,nob/c,3.99
28455,type1,p3,nob/c,0
28456,type1,p3,nob/c,3.99
